date,home,visitor,hgoal,vgoal,FT,Season,result
2020-01-04,Espanyol Barcelona,FC Barcelona,2,2,2-2,2019,D
2020-01-05,Granada CF,RCD Mallorca,1,0,1-0,2019,H
2020-01-05,Real Sociedad,Villarreal CF,1,2,1-2,2019,A
2020-01-05,CD Alaves,Real Betis,1,1,1-1,2019,D
2020-01-05,Celta Vigo,CA Osasuna,1,1,1-1,2019,D
2020-01-17,CD Leganes,Getafe CF,0,3,0-3,2019,A
2020-01-18,Levante UD,CD Alaves,0,1,0-1,2019,A
2020-01-18,Real Madrid,Sevilla FC,2,1,2-1,2019,H
2020-01-18,CA Osasuna,Real Valladolid,0,0,0-0,2019,D
2020-01-18,SD Eibar,Atletico Madrid,2,0,2-0,2019,H
2020-01-19,RCD Mallorca,Valencia CF,4,1,4-1,2019,H
2020-01-19,Real Betis,Real Sociedad,3,0,3-0,2019,H
2020-01-19,Villarreal CF,Espanyol Barcelona,1,2,1-2,2019,A
2020-01-19,Athletic Bilbao,Celta Vigo,1,1,1-1,2019,D
2020-01-19,FC Barcelona,Granada CF,1,0,1-0,2019,H
2020-01-24,CA Osasuna,Levante UD,2,0,2-0,2019,H
2020-01-25,Espanyol Barcelona,Athletic Bilbao,1,1,1-1,2019,D
2020-01-25,Valencia CF,FC Barcelona,2,0,2-0,2019,H
2020-01-25,CD Alaves,Villarreal CF,1,2,1-2,2019,A
2020-01-25,Sevilla FC,Granada CF,2,0,2-0,2019,H
2020-01-26,Atletico Madrid,CD Leganes,0,0,0-0,2019,D
2020-01-26,Celta Vigo,SD Eibar,0,0,0-0,2019,D
2020-01-26,Getafe CF,Real Betis,1,0,1-0,2019,H
2020-01-26,Real Sociedad,RCD Mallorca,3,0,3-0,2019,H
2020-01-26,Real Valladolid,Real Madrid,0,1,0-1,2019,A
2020-02-01,Granada CF,Espanyol Barcelona,2,1,2-1,2019,H
2020-02-01,Real Madrid,Atletico Madrid,1,0,1-0,2019,H
2020-02-01,RCD Mallorca,Real Valladolid,0,1,0-1,2019,A
2020-02-01,Valencia CF,Celta Vigo,1,0,1-0,2019,H
2020-02-02,CD Leganes,Real Sociedad,2,1,2-1,2019,H
2020-02-02,SD Eibar,Real Betis,1,1,1-1,2019,D
2020-02-02,Athletic Bilbao,Getafe CF,0,2,0-2,2019,A
2020-02-02,Sevilla FC,CD Alaves,1,1,1-1,2019,D
2020-02-02,Villarreal CF,CA Osasuna,3,1,3-1,2019,H
2020-02-02,FC Barcelona,Levante UD,2,1,2-1,2019,H
2020-02-07,CD Alaves,SD Eibar,2,1,2-1,2019,H
2020-02-08,Levante UD,CD Leganes,2,0,2-0,2019,H
2020-02-08,Getafe CF,Valencia CF,3,0,3-0,2019,H
2020-02-08,Real Valladolid,Villarreal CF,1,1,1-1,2019,D
2020-02-08,Atletico Madrid,Granada CF,1,0,1-0,2019,H
2020-02-09,Espanyol Barcelona,RCD Mallorca,1,0,1-0,2019,H
2020-02-09,Real Sociedad,Athletic Bilbao,2,1,2-1,2019,H
2020-02-09,CA Osasuna,Real Madrid,1,4,1-4,2019,A
2020-02-09,Celta Vigo,Sevilla FC,2,1,2-1,2019,H
2020-02-09,Real Betis,FC Barcelona,2,3,2-3,2019,A
2020-02-14,Valencia CF,Atletico Madrid,2,2,2-2,2019,D
2020-02-15,RCD Mallorca,CD Alaves,1,0,1-0,2019,H
2020-02-15,FC Barcelona,Getafe CF,2,1,2-1,2019,H
2020-02-15,Villarreal CF,Levante UD,2,1,2-1,2019,H
2020-02-15,Granada CF,Real Valladolid,2,1,2-1,2019,H
2020-02-16,Sevilla FC,Espanyol Barcelona,2,2,2-2,2019,D
2020-02-16,CD Leganes,Real Betis,0,0,0-0,2019,D
2020-02-16,Athletic Bilbao,CA Osasuna,0,1,0-1,2019,A
2020-02-16,Real Madrid,Celta Vigo,2,2,2-2,2019,D
2020-02-21,Real Betis,RCD Mallorca,3,3,3-3,2019,D
2020-02-22,Celta Vigo,CD Leganes,1,0,1-0,2019,H
2020-02-22,FC Barcelona,SD Eibar,5,0,5-0,2019,H
2020-02-22,Real Sociedad,Valencia CF,3,0,3-0,2019,H
